Ward,Brittany Kinser,Jill Underly,write-in:
City of Milwaukee Ward 1 ,183,411,4
City of Milwaukee Ward 2 ,42,111,1
City of Milwaukee Ward 3 ,147,290,0
City of Milwaukee Ward 4 ,203,548,4
City of Milwaukee Ward 5 ,122,320,0
City of Milwaukee Ward 6 ,259,489,2
City of Milwaukee Ward 7 ,119,174,2
City of Milwaukee Ward 8 ,204,519,7
City of Milwaukee Ward 9 ,126,296,0
City of Milwaukee Ward 10 ,242,461,5
City of Milwaukee Ward 11 ,152,438,1
City of Milwaukee Ward 12 ,112,269,2
City of Milwaukee Ward 13 ,75,166,1
City of Milwaukee Ward 14 ,126,327,2
City of Milwaukee Ward 15 ,178,322,7
City of Milwaukee Ward 16 ,191,454,4
City of Milwaukee Ward 17 ,108,255,8
City of Milwaukee Ward 18 ,154,288,1
City of Milwaukee Ward 19 ,99,214,1
City of Milwaukee Ward 20 ,131,338,1
City of Milwaukee Ward 21 ,54,130,2
City of Milwaukee Ward 22 ,83,232,1
City of Milwaukee Ward 23 ,70,209,0
City of Milwaukee Ward 24 ,20,58,0
City of Milwaukee Ward 25 ,61,157,1
City of Milwaukee Ward 26 ,46,98,1
City of Milwaukee Ward 27 ,95,215,0
City of Milwaukee Ward 28 ,62,148,2
City of Milwaukee Ward 29 ,75,217,3
City of Milwaukee Ward 30 ,68,170,0
City of Milwaukee Ward 31 ,63,199,0
City of Milwaukee Ward 32 ,166,352,5
City of Milwaukee Ward 33 ,500,832,6
City of Milwaukee Ward 34 ,57,146,1
City of Milwaukee Ward 35 ,327,462,1
City of Milwaukee Ward 36 ,99,247,2
City of Milwaukee Ward 37 ,97,153,2
City of Milwaukee Ward 38 ,59,131,0
City of Milwaukee Ward 39 ,106,253,1
City of Milwaukee Ward 40 ,77,190,0
City of Milwaukee Ward 41 ,129,319,1
City of Milwaukee Ward 42 ,133,306,0
City of Milwaukee Ward 43 ,123,323,4
City of Milwaukee Ward 44 ,108,296,1
City of Milwaukee Ward 45 ,108,308,3
City of Milwaukee Ward 46 ,52,144,1
City of Milwaukee Ward 47 ,61,161,0
City of Milwaukee Ward 48 ,136,347,2
City of Milwaukee Ward 49 ,97,253,1
City of Milwaukee Ward 50 ,74,184,1
City of Milwaukee Ward 51 ,87,242,0
City of Milwaukee Ward 52 ,150,303,1
City of Milwaukee Ward 53 ,90,238,1
City of Milwaukee Ward 54 ,112,278,2
City of Milwaukee Ward 55 ,86,235,6
City of Milwaukee Ward 56 ,163,506,2
City of Milwaukee Ward 57 ,93,249,3
City of Milwaukee Ward 58 ,65,237,7
City of Milwaukee Ward 59 ,75,161,3
City of Milwaukee Ward 60 ,51,143,3
City of Milwaukee Ward 61 ,107,326,1
City of Milwaukee Ward 62 ,133,367,1
City of Milwaukee Ward 63 ,84,157,3
City of Milwaukee Ward 64 ,59,155,0
City of Milwaukee Ward 65 ,120,324,3
City of Milwaukee Ward 66 ,91,271,2
City of Milwaukee Ward 67 ,116,438,3
City of Milwaukee Ward 68 ,92,255,0
City of Milwaukee Ward 69 ,108,332,1
City of Milwaukee Ward 70 ,136,403,2
City of Milwaukee Ward 71 ,102,327,0
City of Milwaukee Ward 72 ,98,282,2
City of Milwaukee Ward 73 ,77,225,1
City of Milwaukee Ward 74 ,101,248,1
City of Milwaukee Ward 75 ,141,402,2
City of Milwaukee Ward 76 ,177,424,4
City of Milwaukee Ward 77 ,188,462,1
City of Milwaukee Ward 78 ,132,254,0
City of Milwaukee Ward 79 ,346,739,3
City of Milwaukee Ward 80 ,141,287,1
City of Milwaukee Ward 81 ,135,326,1
City of Milwaukee Ward 82 ,76,146,2
City of Milwaukee Ward 83 ,337,789,3
City of Milwaukee Ward 84 ,93,311,2
City of Milwaukee Ward 85 ,241,761,1
City of Milwaukee Ward 86 ,134,352,3
City of Milwaukee Ward 87 ,143,347,3
City of Milwaukee Ward 88 ,173,482,2
City of Milwaukee Ward 89 ,187,486,2
City of Milwaukee Ward 90 ,171,530,2
City of Milwaukee Ward 91 ,24,123,2
City of Milwaukee Ward 92 ,71,253,0
City of Milwaukee Ward 93 ,168,444,3
City of Milwaukee Ward 94 ,165,321,4
City of Milwaukee Ward 95 ,98,260,0
City of Milwaukee Ward 96 ,149,472,2
City of Milwaukee Ward 97 ,83,258,0
City of Milwaukee Ward 98 ,114,331,4
City of Milwaukee Ward 99 ,133,424,2
City of Milwaukee Ward 100 ,57,158,1
City of Milwaukee Ward 101 ,131,346,3
City of Milwaukee Ward 102 ,36,102,1
City of Milwaukee Ward 103 ,42,146,0
City of Milwaukee Ward 104 ,93,306,2
City of Milwaukee Ward 105 ,60,236,1
City of Milwaukee Ward 106 ,49,121,1
City of Milwaukee Ward 107 ,56,133,1
City of Milwaukee Ward 108 ,61,150,3
City of Milwaukee Ward 109 ,52,152,0
City of Milwaukee Ward 110 ,62,164,3
City of Milwaukee Ward 111 ,101,246,1
City of Milwaukee Ward 112 ,36,116,1
City of Milwaukee Ward 113 ,57,141,0
City of Milwaukee Ward 114 ,43,137,1
City of Milwaukee Ward 115 ,72,207,2
City of Milwaukee Ward 116 ,66,149,1
City of Milwaukee Ward 117 ,58,217,2
City of Milwaukee Ward 118 ,68,205,1
City of Milwaukee Ward 119 ,105,637,3
City of Milwaukee Ward 120 ,83,292,2
City of Milwaukee Ward 121 ,79,604,1
City of Milwaukee Ward 122 ,88,555,2
City of Milwaukee Ward 123 ,150,822,5
City of Milwaukee Ward 124 ,142,966,5
City of Milwaukee Ward 125 ,127,671,4
City of Milwaukee Ward 126 ,99,611,2
City of Milwaukee Ward 127 ,262,656,4
City of Milwaukee Ward 128 ,253,979,4
City of Milwaukee Ward 129 ,84,522,1
City of Milwaukee Ward 130 ,101,583,5
City of Milwaukee Ward 131 ,132,724,3
City of Milwaukee Ward 132 ,110,677,6
City of Milwaukee Ward 133 ,80,458,3
City of Milwaukee Ward 134 ,72,635,4
City of Milwaukee Ward 135 ,126,889,4
City of Milwaukee Ward 136 ,28,154,2
City of Milwaukee Ward 137 ,65,208,5
City of Milwaukee Ward 138 ,61,215,1
City of Milwaukee Ward 139 ,31,123,3
City of Milwaukee Ward 140 ,72,222,2
City of Milwaukee Ward 141 ,91,242,1
City of Milwaukee Ward 142 ,39,132,4
City of Milwaukee Ward 143 ,54,106,0
City of Milwaukee Ward 144 ,64,187,1
City of Milwaukee Ward 145 ,43,209,1
City of Milwaukee Ward 146 ,72,160,1
City of Milwaukee Ward 147 ,28,87,0
City of Milwaukee Ward 148 ,39,103,2
