Ward,Ron Jansen,Jack Eckblad,write-in:
City of Milwaukee Ward 236 ,190,220,0
City of Milwaukee Ward 237 ,148,177,1
City of Milwaukee Ward 238 ,155,393,1
City of Milwaukee Ward 239 ,274,537,1
City of Milwaukee Ward 240 ,216,380,2
City of Milwaukee Ward 241 ,204,254,5
City of Milwaukee Ward 281 ,116,195,1
City of Milwaukee Ward 282 ,139,198,2
City of Milwaukee Ward 283 ,14,24,0
City of Milwaukee Ward 284 ,173,256,0
City of Milwaukee Ward 285 ,177,245,0
City of Milwaukee Ward 286 ,158,232,1
City of Milwaukee Ward 289 ,194,301,9
City of Milwaukee Ward 290 ,143,163,3
City of Milwaukee Ward 291 ,160,199,0
City of Milwaukee Ward 292 ,124,127,2
City of Milwaukee Ward 293 ,156,262,3
City of Milwaukee Ward 294 ,131,80,0
City of Milwaukee Ward 295 ,136,80,1
City of Milwaukee Ward 296 ,175,136,7
City of Milwaukee Ward 297 ,34,25,0
City of Milwaukee Ward 298 ,109,62,2
City of Milwaukee Ward 299 ,179,170,3
City of Milwaukee Ward 300 ,174,124,0
City of Milwaukee Ward 301 ,152,106,3
City of Milwaukee Ward 302 ,145,97,4
City of Milwaukee Ward 303 ,145,117,2
City of Milwaukee Ward 304 ,207,281,5
City of Milwaukee Ward 310 ,90,58,0
City of Milwaukee Ward 313 ,87,73,1
City of Milwaukee Ward 314 ,93,74,2
City of Milwaukee Ward 342 ,8,6,0
City of Milwaukee Ward 347 ,150,153,1
City of Milwaukee Ward 348 ,117,135,3
City of Milwaukee Ward 352 ,0,0,0
