Ward,Yes,No
City of Milwaukee Ward 1 ,165,163
City of Milwaukee Ward 2 ,27,23
City of Milwaukee Ward 3 ,145,101
City of Milwaukee Ward 4 ,263,202
City of Milwaukee Ward 5 ,104,151
City of Milwaukee Ward 6 ,201,289
City of Milwaukee Ward 7 ,50,108
City of Milwaukee Ward 8 ,181,274
City of Milwaukee Ward 9 ,114,147
City of Milwaukee Ward 10 ,157,306
City of Milwaukee Ward 11 ,126,209
City of Milwaukee Ward 12 ,73,131
City of Milwaukee Ward 13 ,55,96
City of Milwaukee Ward 14 ,126,98
City of Milwaukee Ward 15 ,109,193
City of Milwaukee Ward 16 ,177,185
City of Milwaukee Ward 17 ,98,132
City of Milwaukee Ward 18 ,126,167
City of Milwaukee Ward 19 ,54,100
City of Milwaukee Ward 20 ,112,166
City of Milwaukee Ward 21 ,34,58
City of Milwaukee Ward 22 ,74,89
City of Milwaukee Ward 23 ,65,42
City of Milwaukee Ward 24 ,10,7
City of Milwaukee Ward 25 ,58,39
City of Milwaukee Ward 26 ,30,42
City of Milwaukee Ward 27 ,72,95
City of Milwaukee Ward 28 ,38,45
City of Milwaukee Ward 29 ,65,94
City of Milwaukee Ward 30 ,65,50
City of Milwaukee Ward 31 ,53,56
City of Milwaukee Ward 32 ,124,206
City of Milwaukee Ward 33 ,289,671
City of Milwaukee Ward 34 ,48,43
City of Milwaukee Ward 35 ,158,303
City of Milwaukee Ward 36 ,73,95
City of Milwaukee Ward 37 ,57,52
City of Milwaukee Ward 38 ,39,59
City of Milwaukee Ward 39 ,78,119
City of Milwaukee Ward 40 ,62,73
City of Milwaukee Ward 41 ,120,146
City of Milwaukee Ward 42 ,95,122
City of Milwaukee Ward 43 ,109,156
City of Milwaukee Ward 44 ,95,103
City of Milwaukee Ward 45 ,63,92
City of Milwaukee Ward 46 ,61,58
City of Milwaukee Ward 47 ,44,78
City of Milwaukee Ward 48 ,113,99
City of Milwaukee Ward 49 ,80,80
City of Milwaukee Ward 50 ,63,64
City of Milwaukee Ward 51 ,74,97
City of Milwaukee Ward 52 ,107,161
City of Milwaukee Ward 53 ,92,88
City of Milwaukee Ward 54 ,102,95
City of Milwaukee Ward 55 ,89,88
City of Milwaukee Ward 56 ,178,199
City of Milwaukee Ward 57 ,82,97
City of Milwaukee Ward 58 ,91,91
City of Milwaukee Ward 59 ,71,75
City of Milwaukee Ward 60 ,55,57
City of Milwaukee Ward 61 ,121,153
City of Milwaukee Ward 62 ,142,140
City of Milwaukee Ward 63 ,62,67
City of Milwaukee Ward 64 ,48,61
City of Milwaukee Ward 65 ,122,144
City of Milwaukee Ward 66 ,87,91
City of Milwaukee Ward 67 ,136,179
City of Milwaukee Ward 68 ,68,111
City of Milwaukee Ward 69 ,157,135
City of Milwaukee Ward 70 ,138,161
City of Milwaukee Ward 71 ,103,121
City of Milwaukee Ward 72 ,99,142
City of Milwaukee Ward 73 ,67,105
City of Milwaukee Ward 74 ,83,97
City of Milwaukee Ward 75 ,117,191
City of Milwaukee Ward 76 ,139,209
City of Milwaukee Ward 77 ,186,199
City of Milwaukee Ward 78 ,113,153
City of Milwaukee Ward 79 ,326,415
City of Milwaukee Ward 80 ,98,152
City of Milwaukee Ward 81 ,145,143
City of Milwaukee Ward 82 ,89,79
City of Milwaukee Ward 83 ,349,391
City of Milwaukee Ward 84 ,117,127
City of Milwaukee Ward 85 ,309,307
City of Milwaukee Ward 86 ,137,162
City of Milwaukee Ward 87 ,131,178
City of Milwaukee Ward 88 ,156,192
City of Milwaukee Ward 89 ,236,195
City of Milwaukee Ward 90 ,278,204
City of Milwaukee Ward 91 ,52,30
City of Milwaukee Ward 92 ,72,101
City of Milwaukee Ward 93 ,197,180
City of Milwaukee Ward 94 ,137,179
City of Milwaukee Ward 95 ,105,116
City of Milwaukee Ward 96 ,173,207
City of Milwaukee Ward 97 ,98,103
City of Milwaukee Ward 98 ,160,140
City of Milwaukee Ward 99 ,140,155
City of Milwaukee Ward 100 ,51,70
City of Milwaukee Ward 101 ,111,117
City of Milwaukee Ward 102 ,31,27
City of Milwaukee Ward 103 ,62,37
City of Milwaukee Ward 104 ,129,99
City of Milwaukee Ward 105 ,70,79
City of Milwaukee Ward 106 ,41,45
City of Milwaukee Ward 107 ,49,38
City of Milwaukee Ward 108 ,49,60
City of Milwaukee Ward 109 ,48,49
City of Milwaukee Ward 110 ,60,63
City of Milwaukee Ward 111 ,104,99
City of Milwaukee Ward 112 ,40,38
City of Milwaukee Ward 113 ,50,42
City of Milwaukee Ward 114 ,44,35
City of Milwaukee Ward 115 ,71,64
City of Milwaukee Ward 116 ,45,61
City of Milwaukee Ward 117 ,80,70
City of Milwaukee Ward 118 ,67,63
City of Milwaukee Ward 119 ,303,119
City of Milwaukee Ward 120 ,139,59
City of Milwaukee Ward 121 ,348,139
City of Milwaukee Ward 122 ,338,104
City of Milwaukee Ward 123 ,406,145
City of Milwaukee Ward 124 ,367,104
City of Milwaukee Ward 125 ,337,142
City of Milwaukee Ward 126 ,168,32
City of Milwaukee Ward 127 ,319,346
City of Milwaukee Ward 128 ,511,403
City of Milwaukee Ward 129 ,228,60
City of Milwaukee Ward 130 ,248,76
