Ward,Brad Schimel,Susan Crawford,write-in:
City of Milwaukee Ward 1 ,94,554,0
City of Milwaukee Ward 2 ,17,157,1
City of Milwaukee Ward 3 ,63,394,1
City of Milwaukee Ward 4 ,85,720,0
City of Milwaukee Ward 5 ,56,414,1
City of Milwaukee Ward 6 ,152,651,0
City of Milwaukee Ward 7 ,88,232,0
City of Milwaukee Ward 8 ,141,631,0
City of Milwaukee Ward 9 ,60,390,0
City of Milwaukee Ward 10 ,150,603,0
City of Milwaukee Ward 11 ,84,552,1
City of Milwaukee Ward 12 ,49,357,1
City of Milwaukee Ward 13 ,40,217,0
City of Milwaukee Ward 14 ,30,458,0
City of Milwaukee Ward 15 ,124,419,0
City of Milwaukee Ward 16 ,81,645,1
City of Milwaukee Ward 17 ,64,328,2
City of Milwaukee Ward 18 ,93,379,0
City of Milwaukee Ward 19 ,59,288,1
City of Milwaukee Ward 20 ,53,475,0
City of Milwaukee Ward 21 ,24,180,0
City of Milwaukee Ward 22 ,25,323,1
City of Milwaukee Ward 23 ,17,277,0
City of Milwaukee Ward 24 ,1,86,0
City of Milwaukee Ward 25 ,17,226,0
City of Milwaukee Ward 26 ,19,139,1
City of Milwaukee Ward 27 ,39,293,0
City of Milwaukee Ward 28 ,40,183,0
City of Milwaukee Ward 29 ,29,297,1
City of Milwaukee Ward 30 ,35,229,0
City of Milwaukee Ward 31 ,19,268,0
City of Milwaukee Ward 32 ,99,456,1
City of Milwaukee Ward 33 ,395,1024,1
City of Milwaukee Ward 34 ,30,198,0
City of Milwaukee Ward 35 ,234,610,0
City of Milwaukee Ward 36 ,42,335,3
City of Milwaukee Ward 37 ,39,234,0
City of Milwaukee Ward 38 ,28,174,1
City of Milwaukee Ward 39 ,58,323,0
City of Milwaukee Ward 40 ,20,269,1
City of Milwaukee Ward 41 ,32,457,0
City of Milwaukee Ward 42 ,32,450,1
City of Milwaukee Ward 43 ,26,473,0
City of Milwaukee Ward 44 ,27,414,2
City of Milwaukee Ward 45 ,26,416,0
City of Milwaukee Ward 46 ,17,206,0
City of Milwaukee Ward 47 ,13,227,0
City of Milwaukee Ward 48 ,35,484,0
City of Milwaukee Ward 49 ,26,362,0
City of Milwaukee Ward 50 ,17,267,0
City of Milwaukee Ward 51 ,21,347,1
City of Milwaukee Ward 52 ,95,390,0
City of Milwaukee Ward 53 ,16,343,0
City of Milwaukee Ward 54 ,17,406,1
City of Milwaukee Ward 55 ,14,332,1
City of Milwaukee Ward 56 ,21,703,0
City of Milwaukee Ward 57 ,17,356,1
City of Milwaukee Ward 58 ,13,327,0
City of Milwaukee Ward 59 ,8,244,1
City of Milwaukee Ward 60 ,3,213,0
City of Milwaukee Ward 61 ,26,440,1
City of Milwaukee Ward 62 ,22,514,0
City of Milwaukee Ward 63 ,13,251,0
City of Milwaukee Ward 64 ,11,218,0
City of Milwaukee Ward 65 ,42,444,0
City of Milwaukee Ward 66 ,17,386,1
City of Milwaukee Ward 67 ,32,562,0
City of Milwaukee Ward 68 ,29,347,0
City of Milwaukee Ward 69 ,32,437,1
City of Milwaukee Ward 70 ,42,535,1
City of Milwaukee Ward 71 ,42,418,0
City of Milwaukee Ward 72 ,44,362,0
City of Milwaukee Ward 73 ,33,296,0
City of Milwaukee Ward 74 ,47,320,0
City of Milwaukee Ward 75 ,92,502,0
City of Milwaukee Ward 76 ,103,541,1
City of Milwaukee Ward 77 ,145,544,0
City of Milwaukee Ward 78 ,108,305,0
City of Milwaukee Ward 79 ,280,870,1
City of Milwaukee Ward 80 ,122,339,0
City of Milwaukee Ward 81 ,110,367,0
City of Milwaukee Ward 82 ,53,185,0
City of Milwaukee Ward 83 ,280,913,2
City of Milwaukee Ward 84 ,30,404,1
City of Milwaukee Ward 85 ,193,854,0
City of Milwaukee Ward 86 ,93,411,2
City of Milwaukee Ward 87 ,103,420,1
City of Milwaukee Ward 88 ,64,644,0
City of Milwaukee Ward 89 ,115,602,1
City of Milwaukee Ward 90 ,130,602,0
City of Milwaukee Ward 91 ,6,158,0
City of Milwaukee Ward 92 ,32,321,0
City of Milwaukee Ward 93 ,71,580,0
City of Milwaukee Ward 94 ,126,396,0
City of Milwaukee Ward 95 ,16,380,0
City of Milwaukee Ward 96 ,61,592,0
City of Milwaukee Ward 97 ,17,349,0
City of Milwaukee Ward 98 ,17,468,1
City of Milwaukee Ward 99 ,31,562,3
City of Milwaukee Ward 100 ,13,223,0
City of Milwaukee Ward 101 ,18,494,1
City of Milwaukee Ward 102 ,5,144,0
City of Milwaukee Ward 103 ,6,191,0
City of Milwaukee Ward 104 ,22,405,2
City of Milwaukee Ward 105 ,11,306,1
City of Milwaukee Ward 106 ,6,178,0
City of Milwaukee Ward 107 ,6,200,1
City of Milwaukee Ward 108 ,7,234,1
City of Milwaukee Ward 109 ,5,212,0
City of Milwaukee Ward 110 ,8,237,0
