id,Ward,Jeff Wright,Brittany Kinser,Jill Underly,write-in:
12727,City of Milwaukee Ward 1 ,23,30,39,0
12730,City of Milwaukee Ward 2 ,3,2,2,0
12733,City of Milwaukee Ward 3 ,47,38,65,0
12736,City of Milwaukee Ward 4 ,46,31,88,0
12739,City of Milwaukee Ward 5 ,30,22,47,0
12742,City of Milwaukee Ward 6 ,46,33,81,0
12745,City of Milwaukee Ward 7 ,11,10,12,0
12748,City of Milwaukee Ward 8 ,35,31,96,1
12751,City of Milwaukee Ward 9 ,17,12,48,0
12754,City of Milwaukee Ward 10 ,47,54,69,0
12757,City of Milwaukee Ward 11 ,25,22,49,0
12760,City of Milwaukee Ward 12 ,12,15,24,0
12763,City of Milwaukee Ward 13 ,12,11,13,0
12766,City of Milwaukee Ward 14 ,19,11,38,0
12769,City of Milwaukee Ward 15 ,20,19,66,0
12772,City of Milwaukee Ward 16 ,23,28,66,0
12775,City of Milwaukee Ward 17 ,16,16,31,0
12778,City of Milwaukee Ward 18 ,27,19,47,1
12781,City of Milwaukee Ward 19 ,9,10,13,1
12784,City of Milwaukee Ward 20 ,20,21,37,0
12787,City of Milwaukee Ward 21 ,6,9,5,0
12790,City of Milwaukee Ward 22 ,18,18,27,1
12793,City of Milwaukee Ward 23 ,7,6,12,0
12796,City of Milwaukee Ward 24 ,0,2,1,0
12799,City of Milwaukee Ward 25 ,5,12,11,0
12803,City of Milwaukee Ward 26 ,8,6,7,0
12806,City of Milwaukee Ward 27 ,11,9,18,0
12809,City of Milwaukee Ward 28 ,7,2,10,0
12812,City of Milwaukee Ward 29 ,12,2,23,0
12815,City of Milwaukee Ward 30 ,6,9,19,1
12818,City of Milwaukee Ward 31 ,2,4,13,0
12822,City of Milwaukee Ward 32 ,30,23,46,1
12825,City of Milwaukee Ward 33 ,81,83,141,0
12828,City of Milwaukee Ward 34 ,10,2,12,0
12831,City of Milwaukee Ward 35 ,29,73,47,0
12834,City of Milwaukee Ward 36 ,7,17,20,0
12837,City of Milwaukee Ward 37 ,6,6,10,0
12840,City of Milwaukee Ward 38 ,12,5,14,0
12843,City of Milwaukee Ward 39 ,13,9,26,0
12846,City of Milwaukee Ward 40 ,10,11,15,0
12849,City of Milwaukee Ward 41 ,23,19,30,0
12852,City of Milwaukee Ward 42 ,16,9,29,0
12855,City of Milwaukee Ward 43 ,21,24,36,0
12858,City of Milwaukee Ward 44 ,13,13,27,0
12861,City of Milwaukee Ward 45 ,11,12,16,1
12864,City of Milwaukee Ward 46 ,3,11,23,0
12867,City of Milwaukee Ward 47 ,3,8,16,0
12870,City of Milwaukee Ward 48 ,20,17,25,0
12873,City of Milwaukee Ward 49 ,7,3,24,1
12876,City of Milwaukee Ward 50 ,12,9,15,0
12879,City of Milwaukee Ward 51 ,11,14,25,0
12882,City of Milwaukee Ward 52 ,24,22,38,0
12885,City of Milwaukee Ward 53 ,10,12,26,0
12888,City of Milwaukee Ward 54 ,19,16,24,0
12891,City of Milwaukee Ward 55 ,15,12,26,0
12894,City of Milwaukee Ward 56 ,40,26,77,0
12897,City of Milwaukee Ward 57 ,12,18,32,0
12900,City of Milwaukee Ward 58 ,15,11,36,0
12903,City of Milwaukee Ward 59 ,11,9,20,0
12906,City of Milwaukee Ward 60 ,14,6,11,0
12909,City of Milwaukee Ward 61 ,18,11,40,0
12912,City of Milwaukee Ward 62 ,26,18,42,1
12915,City of Milwaukee Ward 63 ,7,3,16,0
12918,City of Milwaukee Ward 64 ,16,3,17,0
12921,City of Milwaukee Ward 65 ,17,19,36,1
12924,City of Milwaukee Ward 66 ,5,10,29,0
12927,City of Milwaukee Ward 67 ,23,19,40,0
12930,City of Milwaukee Ward 68 ,14,12,32,0
12933,City of Milwaukee Ward 69 ,21,17,50,0
12936,City of Milwaukee Ward 70 ,24,16,35,0
12939,City of Milwaukee Ward 71 ,18,10,43,0
12942,City of Milwaukee Ward 72 ,15,24,43,0
